Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-19T21:54:52+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 5.93, 4.51, 3.83
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Sweep_Levels/1/iterations:65536_mean                                        57.2 ns         57.2 ns            5 items_per_second=17.5082M/s
BM_Sweep_Levels/1/iterations:65536_median                                      57.2 ns         57.2 ns            5 items_per_second=17.4949M/s
BM_Sweep_Levels/1/iterations:65536_stddev                                      2.02 ns         1.99 ns            5 items_per_second=611.485k/s
BM_Sweep_Levels/1/iterations:65536_cv                                          3.53 %          3.49 %             5 items_per_second=3.49%
BM_Sweep_Levels/iterations:65536_BigO                                         57.20 (1)       57.17 (1)  
BM_Sweep_Levels/iterations:65536_RMS                                              3 %             3 %    
BM_Sweep_Levels/4/iterations:65536_mean                                         195 ns          195 ns            5 items_per_second=20.569M/s
BM_Sweep_Levels/4/iterations:65536_median                                       192 ns          192 ns            5 items_per_second=20.8448M/s
BM_Sweep_Levels/4/iterations:65536_stddev                                      4.29 ns         4.22 ns            5 items_per_second=443.115k/s
BM_Sweep_Levels/4/iterations:65536_cv                                          2.20 %          2.17 %             5 items_per_second=2.15%
BM_Sweep_Levels/iterations:65536_BigO                                        194.76 (1)      194.54 (1)  
BM_Sweep_Levels/iterations:65536_RMS                                              2 %             2 %    
BM_Sweep_Levels/16/iterations:16384_mean                                        738 ns          738 ns            5 items_per_second=21.6932M/s
BM_Sweep_Levels/16/iterations:16384_median                                      738 ns          737 ns            5 items_per_second=21.7025M/s
BM_Sweep_Levels/16/iterations:16384_stddev                                     6.83 ns         6.91 ns            5 items_per_second=203.094k/s
BM_Sweep_Levels/16/iterations:16384_cv                                         0.93 %          0.94 %             5 items_per_second=0.94%
BM_Sweep_Levels/iterations:16384_BigO                                        738.44 (1)      737.61 (1)  
BM_Sweep_Levels/iterations:16384_RMS                                              1 %             1 %    
BM_Sweep_Levels/64/iterations:4096_mean                                        2879 ns         2876 ns            5 items_per_second=22.255M/s
BM_Sweep_Levels/64/iterations:4096_median                                      2864 ns         2864 ns            5 items_per_second=22.3501M/s
BM_Sweep_Levels/64/iterations:4096_stddev                                      35.2 ns         33.6 ns            5 items_per_second=257.318k/s
BM_Sweep_Levels/64/iterations:4096_cv                                          1.22 %          1.17 %             5 items_per_second=1.16%
BM_Sweep_Levels/iterations:4096_BigO                                        2879.48 (1)     2876.07 (1)  
BM_Sweep_Levels/iterations:4096_RMS                                               1 %             1 %    
BM_Sweep_Levels/256/iterations:1024_mean                                      11385 ns        11371 ns            5 items_per_second=22.5147M/s
BM_Sweep_Levels/256/iterations:1024_median                                    11375 ns        11374 ns            5 items_per_second=22.5074M/s
BM_Sweep_Levels/256/iterations:1024_stddev                                     81.5 ns         69.3 ns            5 items_per_second=137.413k/s
BM_Sweep_Levels/256/iterations:1024_cv                                         0.72 %          0.61 %             5 items_per_second=0.61%
BM_Sweep_Levels/iterations:1024_BigO                                       11384.99 (1)    11370.70 (1)  
BM_Sweep_Levels/iterations:1024_RMS                                               1 %             1 %    
BM_Sweep_Levels/1024/iterations:256_mean                                      47596 ns        47499 ns            5 items_per_second=21.6549M/s
