Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-20T02:24:16+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 4.42, 5.08, 4.89
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Sweep_Levels/1/iterations:65536_mean                                        47.1 ns         47.1 ns            5 items_per_second=21.2481M/s
BM_Sweep_Levels/1/iterations:65536_median                                      47.0 ns         47.0 ns            5 items_per_second=21.2987M/s
BM_Sweep_Levels/1/iterations:65536_stddev                                      1.24 ns         1.24 ns            5 items_per_second=547.472k/s
BM_Sweep_Levels/1/iterations:65536_cv                                          2.63 %          2.63 %             5 items_per_second=2.58%
BM_Sweep_Levels/iterations:65536_BigO                                         47.09 (1)       47.09 (1)  
BM_Sweep_Levels/iterations:65536_RMS                                              2 %             2 %    
BM_Sweep_Levels/4/iterations:65536_mean                                         158 ns          158 ns            5 items_per_second=25.38M/s
BM_Sweep_Levels/4/iterations:65536_median                                       158 ns          158 ns            5 items_per_second=25.3426M/s
BM_Sweep_Levels/4/iterations:65536_stddev                                      1.94 ns         1.93 ns            5 items_per_second=311.416k/s
BM_Sweep_Levels/4/iterations:65536_cv                                          1.23 %          1.23 %             5 items_per_second=1.23%
BM_Sweep_Levels/iterations:65536_BigO                                        157.63 (1)      157.62 (1)  
BM_Sweep_Levels/iterations:65536_RMS                                              1 %             1 %    
BM_Sweep_Levels/16/iterations:16384_mean                                        564 ns          564 ns            5 items_per_second=28.3802M/s
BM_Sweep_Levels/16/iterations:16384_median                                      565 ns          565 ns            5 items_per_second=28.3093M/s
BM_Sweep_Levels/16/iterations:16384_stddev                                     2.48 ns         2.48 ns            5 items_per_second=125.126k/s
BM_Sweep_Levels/16/iterations:16384_cv                                         0.44 %          0.44 %             5 items_per_second=0.44%
BM_Sweep_Levels/iterations:16384_BigO                                        563.77 (1)      563.78 (1)  
BM_Sweep_Levels/iterations:16384_RMS                                              0 %             0 %    
BM_Sweep_Levels/64/iterations:4096_mean                                        2253 ns         2253 ns            5 items_per_second=28.4032M/s
BM_Sweep_Levels/64/iterations:4096_median                                      2253 ns         2253 ns            5 items_per_second=28.4075M/s
BM_Sweep_Levels/64/iterations:4096_stddev                                      20.9 ns         20.8 ns            5 items_per_second=263.634k/s
BM_Sweep_Levels/64/iterations:4096_cv                                          0.93 %          0.92 %             5 items_per_second=0.93%
BM_Sweep_Levels/iterations:4096_BigO                                        2253.42 (1)     2253.42 (1)  
BM_Sweep_Levels/iterations:4096_RMS                                               1 %             1 %    
BM_Sweep_Levels/256/iterations:1024_mean                                       9010 ns         9009 ns            5 items_per_second=28.4223M/s
BM_Sweep_Levels/256/iterations:1024_median                                     9071 ns         9070 ns            5 items_per_second=28.2239M/s
BM_Sweep_Levels/256/iterations:1024_stddev                                      163 ns          163 ns            5 items_per_second=515.964k/s
BM_Sweep_Levels/256/iterations:1024_cv                                         1.81 %          1.81 %             5 items_per_second=1.82%
BM_Sweep_Levels/iterations:1024_BigO                                        9009.60 (1)     9009.37 (1)  
BM_Sweep_Levels/iterations:1024_RMS                                               2 %             2 %    
BM_Sweep_Levels/1024/iterations:256_mean                                      35887 ns        35888 ns            5 items_per_second=28.5378M/s
BM_Sweep_Levels/1024/iterations:256_median                                    36118 ns        36117 ns            5 items_per_second=28.3522M/s
BM_Sweep_Levels/1024/iterations:256_stddev                                      481 ns          483 ns            5 items_per_second=390.676k/s
BM_Sweep_Levels/1024/iterations:256_cv                                         1.34 %          1.35 %             5 items_per_second=1.37%
BM_Sweep_Levels/iterations:256_BigO                                        35886.88 (1)    35887.50 (1)  
BM_Sweep_Levels/iterations:256_RMS                                                1 %             1 %    
BM_Cancel/1/iterations:65536_mean                                              19.0 ns         19.0 ns            5
BM_Cancel/1/iterations:65536_median                                            19.0 ns         19.0 ns            5
BM_Cancel/1/iterations:65536_stddev                                           0.280 ns        0.272 ns            5
BM_Cancel/1/iterations:65536_cv                                                1.48 %          1.43 %             5
BM_Cancel/16/iterations:65536_mean                                             34.6 ns         34.6 ns            5
BM_Cancel/16/iterations:65536_median                                           34.3 ns         34.3 ns            5
