Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-19T20:15:57+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 5.48, 4.31, 5.25
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Sweep_Levels/1/iterations:65536_median                                       100 ns         99.6 ns            5 items_per_second=10.0392M/s
BM_Sweep_Levels/1/iterations:65536_stddev                                      3.00 ns         2.61 ns            5 items_per_second=254.203k/s
BM_Sweep_Levels/1/iterations:65536_cv                                          2.95 %          2.59 %             5 items_per_second=2.57%
BM_Sweep_Levels/iterations:65536_BigO                                        101.53 (1)      101.01 (1)  
BM_Sweep_Levels/iterations:65536_RMS                                              3 %             2 %    
BM_Sweep_Levels/4/iterations:65536_mean                                         367 ns          365 ns            5 items_per_second=10.9853M/s
BM_Sweep_Levels/4/iterations:65536_median                                       359 ns          357 ns            5 items_per_second=11.2061M/s
BM_Sweep_Levels/4/iterations:65536_stddev                                      24.8 ns         24.6 ns            5 items_per_second=680.477k/s
BM_Sweep_Levels/4/iterations:65536_cv                                          6.76 %          6.73 %             5 items_per_second=6.19%
BM_Sweep_Levels/iterations:65536_BigO                                        366.58 (1)      365.34 (1)  
BM_Sweep_Levels/iterations:65536_RMS                                              6 %             6 %    
BM_Sweep_Levels/16/iterations:16384_mean                                       1377 ns         1373 ns            5 items_per_second=11.6534M/s
BM_Sweep_Levels/16/iterations:16384_median                                     1373 ns         1371 ns            5 items_per_second=11.6721M/s
BM_Sweep_Levels/16/iterations:16384_stddev                                     9.59 ns         8.91 ns            5 items_per_second=75.1261k/s
BM_Sweep_Levels/16/iterations:16384_cv                                         0.70 %          0.65 %             5 items_per_second=0.64%
BM_Sweep_Levels/iterations:16384_BigO                                       1377.19 (1)     1373.03 (1)  
BM_Sweep_Levels/iterations:16384_RMS                                              1 %             1 %    
BM_Sweep_Levels/64/iterations:4096_mean                                        5504 ns         5487 ns            5 items_per_second=11.6649M/s
BM_Sweep_Levels/64/iterations:4096_median                                      5498 ns         5479 ns            5 items_per_second=11.6815M/s
