Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-19T21:37:18+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 4.39, 3.78, 3.28
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Sweep_Levels/1/iterations:65536_mean                                        59.5 ns         59.3 ns            5 items_per_second=16.8684M/s
BM_Sweep_Levels/1/iterations:65536_median                                      59.9 ns         59.8 ns            5 items_per_second=16.7098M/s
BM_Sweep_Levels/1/iterations:65536_stddev                                      2.04 ns         1.97 ns            5 items_per_second=565.31k/s
BM_Sweep_Levels/1/iterations:65536_cv                                          3.43 %          3.33 %             5 items_per_second=3.35%
BM_Sweep_Levels/iterations:65536_BigO                                         59.45 (1)       59.34 (1)  
BM_Sweep_Levels/iterations:65536_RMS                                              3 %             3 %    
BM_Sweep_Levels/4/iterations:65536_mean                                         200 ns          200 ns            5 items_per_second=20.0213M/s
BM_Sweep_Levels/4/iterations:65536_median                                       200 ns          200 ns            5 items_per_second=20.0049M/s
BM_Sweep_Levels/4/iterations:65536_stddev                                      3.11 ns         2.86 ns            5 items_per_second=285.398k/s
BM_Sweep_Levels/4/iterations:65536_cv                                          1.56 %          1.43 %             5 items_per_second=1.43%
BM_Sweep_Levels/iterations:65536_BigO                                        200.07 (1)      199.82 (1)  
BM_Sweep_Levels/iterations:65536_RMS                                              1 %             1 %    
BM_Sweep_Levels/16/iterations:16384_mean                                        738 ns          737 ns            5 items_per_second=21.7001M/s
BM_Sweep_Levels/16/iterations:16384_median                                      739 ns          737 ns            5 items_per_second=21.7096M/s
BM_Sweep_Levels/16/iterations:16384_stddev                                     8.96 ns         9.11 ns            5 items_per_second=267.605k/s
BM_Sweep_Levels/16/iterations:16384_cv                                         1.21 %          1.23 %             5 items_per_second=1.23%
BM_Sweep_Levels/iterations:16384_BigO                                        737.95 (1)      737.41 (1)  
BM_Sweep_Levels/iterations:16384_RMS                                              1 %             1 %    
BM_Sweep_Levels/64/iterations:4096_mean                                        2924 ns         2918 ns            5 items_per_second=21.9339M/s
BM_Sweep_Levels/64/iterations:4096_median                                      2934 ns         2931 ns            5 items_per_second=21.8381M/s
BM_Sweep_Levels/64/iterations:4096_stddev                                      37.1 ns         36.1 ns            5 items_per_second=272.334k/s
BM_Sweep_Levels/64/iterations:4096_cv                                          1.27 %          1.24 %             5 items_per_second=1.24%
BM_Sweep_Levels/iterations:4096_BigO                                        2923.80 (1)     2918.21 (1)  
BM_Sweep_Levels/iterations:4096_RMS                                               1 %             1 %    
BM_Sweep_Levels/256/iterations:1024_mean                                      11642 ns        11631 ns            5 items_per_second=22.0114M/s
BM_Sweep_Levels/256/iterations:1024_median                                    11646 ns        11643 ns            5 items_per_second=21.9883M/s
BM_Sweep_Levels/256/iterations:1024_stddev                                     89.7 ns         86.5 ns            5 items_per_second=163.451k/s
BM_Sweep_Levels/256/iterations:1024_cv                                         0.77 %          0.74 %             5 items_per_second=0.74%
BM_Sweep_Levels/iterations:1024_BigO                                       11641.83 (1)    11630.86 (1)  
BM_Sweep_Levels/iterations:1024_RMS                                               1 %             1 %    
BM_Sweep_Levels/1024/iterations:256_mean                                      46707 ns        46639 ns            5 items_per_second=21.9598M/s
BM_Sweep_Levels/1024/iterations:256_median                                    46784 ns        46781 ns            5 items_per_second=21.8891M/s
BM_Sweep_Levels/1024/iterations:256_stddev                                      774 ns          703 ns            5 items_per_second=331.652k/s
BM_Sweep_Levels/1024/iterations:256_cv                                         1.66 %          1.51 %             5 items_per_second=1.51%
BM_Sweep_Levels/iterations:256_BigO                                        46706.97 (1)    46639.06 (1)  
BM_Sweep_Levels/iterations:256_RMS                                                1 %             1 %    
BM_Cancel/1/iterations:65536_mean                                              31.9 ns         31.9 ns            5
BM_Cancel/1/iterations:65536_median                                            31.8 ns         31.8 ns            5
BM_Cancel/1/iterations:65536_stddev                                           0.630 ns        0.623 ns            5
BM_Cancel/1/iterations:65536_cv                                                1.98 %          1.96 %             5
BM_Cancel/16/iterations:65536_mean                                              101 ns          100 ns            5
BM_Cancel/16/iterations:65536_median                                            101 ns          101 ns            5
BM_Cancel/16/iterations:65536_stddev                                           9.01 ns         8.77 ns            5
BM_Cancel/16/iterations:65536_cv                                               8.96 %          8.74 %             5
BM_Cancel/256/iterations:65536_mean                                             148 ns          148 ns            5
BM_Cancel/256/iterations:65536_median                                           144 ns          143 ns            5
BM_Cancel/256/iterations:65536_stddev                                          6.87 ns         6.92 ns            5
BM_Cancel/256/iterations:65536_cv                                              4.65 %          4.69 %             5
BM_Cancel/4096/iterations:65536_mean                                            179 ns          178 ns            5
BM_Cancel/4096/iterations:65536_median                                          175 ns          174 ns            5
BM_Cancel/4096/iterations:65536_stddev                                         12.2 ns         12.2 ns            5
BM_Cancel/4096/iterations:65536_cv                                             6.82 %          6.83 %             5
BM_Cancel/65536/iterations:65536_mean                                           113 ns          112 ns            5
BM_Cancel/65536/iterations:65536_median                                         112 ns          112 ns            5
BM_Cancel/65536/iterations:65536_stddev                                        3.53 ns         3.31 ns            5
BM_Cancel/65536/iterations:65536_cv                                            3.14 %          2.94 %             5
BM_Replace_PriorityPreserving/1/iterations:65536_mean                          26.4 ns         26.3 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_median                        26.2 ns         26.2 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_stddev                       0.263 ns        0.251 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_cv                            1.00 %          0.95 %             5
BM_Replace_PriorityPreserving/16/iterations:65536_mean                         26.9 ns         26.9 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_median                       26.7 ns         26.7 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_stddev                      0.635 ns        0.608 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_cv                           2.36 %          2.26 %             5
BM_Replace_PriorityPreserving/256/iterations:65536_mean                        28.2 ns         28.2 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_median                      28.0 ns         28.1 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_stddev                     0.745 ns        0.727 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_cv                          2.64 %          2.58 %             5
BM_Replace_PriorityPreserving/4096/iterations:65536_mean                       31.0 ns         30.9 ns            5
BM_Replace_PriorityPreserving/4096/iterations:65536_median                     30.9 ns         30.9 ns            5
BM_Replace_PriorityPreserving/4096/iterations:65536_stddev                    0.326 ns        0.207 ns            5
