Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-19T21:35:00+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 4.05, 3.37, 3.07
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Sweep_Levels/1/iterations:65536_mean                                        59.5 ns         59.4 ns            5 items_per_second=16.8537M/s
BM_Sweep_Levels/1/iterations:65536_median                                      58.7 ns         58.7 ns            5 items_per_second=17.0268M/s
BM_Sweep_Levels/1/iterations:65536_stddev                                      1.43 ns         1.30 ns            5 items_per_second=365.354k/s
BM_Sweep_Levels/1/iterations:65536_cv                                          2.40 %          2.18 %             5 items_per_second=2.17%
BM_Sweep_Levels/iterations:65536_BigO                                         59.46 (1)       59.36 (1)  
BM_Sweep_Levels/iterations:65536_RMS                                              2 %             2 %    
BM_Sweep_Levels/4/iterations:65536_mean                                         206 ns          205 ns            5 items_per_second=19.5306M/s
BM_Sweep_Levels/4/iterations:65536_median                                       205 ns          205 ns            5 items_per_second=19.5484M/s
BM_Sweep_Levels/4/iterations:65536_stddev                                      5.00 ns         4.91 ns            5 items_per_second=468.803k/s
BM_Sweep_Levels/4/iterations:65536_cv                                          2.43 %          2.40 %             5 items_per_second=2.40%
BM_Sweep_Levels/iterations:65536_BigO                                        205.75 (1)      204.90 (1)  
BM_Sweep_Levels/iterations:65536_RMS                                              2 %             2 %    
BM_Sweep_Levels/16/iterations:16384_mean                                        773 ns          771 ns            5 items_per_second=20.7571M/s
BM_Sweep_Levels/16/iterations:16384_median                                      775 ns          774 ns            5 items_per_second=20.6706M/s
BM_Sweep_Levels/16/iterations:16384_stddev                                     10.6 ns         9.91 ns            5 items_per_second=268.02k/s
BM_Sweep_Levels/16/iterations:16384_cv                                         1.37 %          1.29 %             5 items_per_second=1.29%
BM_Sweep_Levels/iterations:16384_BigO                                        772.74 (1)      770.92 (1)  
BM_Sweep_Levels/iterations:16384_RMS                                              1 %             1 %    
BM_Sweep_Levels/64/iterations:4096_mean                                        3016 ns         3009 ns            5 items_per_second=21.2754M/s
BM_Sweep_Levels/64/iterations:4096_median                                      3001 ns         2996 ns            5 items_per_second=21.3629M/s
BM_Sweep_Levels/64/iterations:4096_stddev                                      53.7 ns         50.4 ns            5 items_per_second=354.394k/s
BM_Sweep_Levels/64/iterations:4096_cv                                          1.78 %          1.68 %             5 items_per_second=1.67%
BM_Sweep_Levels/iterations:4096_BigO                                        3016.33 (1)     3008.84 (1)  
BM_Sweep_Levels/iterations:4096_RMS                                               2 %             1 %    
BM_Sweep_Levels/256/iterations:1024_mean                                      12070 ns        12026 ns            5 items_per_second=21.2947M/s
BM_Sweep_Levels/256/iterations:1024_median                                    11969 ns        11935 ns            5 items_per_second=21.4503M/s
BM_Sweep_Levels/256/iterations:1024_stddev                                      264 ns          252 ns            5 items_per_second=442.461k/s
BM_Sweep_Levels/256/iterations:1024_cv                                         2.19 %          2.09 %             5 items_per_second=2.08%
BM_Sweep_Levels/iterations:1024_BigO                                       12070.14 (1)    12025.98 (1)  
BM_Sweep_Levels/iterations:1024_RMS                                               2 %             2 %    
BM_Sweep_Levels/1024/iterations:256_mean                                      47667 ns        47531 ns            5 items_per_second=21.5474M/s
BM_Sweep_Levels/1024/iterations:256_median                                    47953 ns        47785 ns            5 items_per_second=21.4292M/s
BM_Sweep_Levels/1024/iterations:256_stddev                                      713 ns          688 ns            5 items_per_second=317.925k/s
BM_Sweep_Levels/1024/iterations:256_cv                                         1.50 %          1.45 %             5 items_per_second=1.48%
BM_Sweep_Levels/iterations:256_BigO                                        47667.28 (1)    47531.25 (1)  
BM_Sweep_Levels/iterations:256_RMS                                                1 %             1 %    
BM_Cancel/1/iterations:65536_mean                                              31.5 ns         31.5 ns            5
BM_Cancel/1/iterations:65536_median                                            31.6 ns         31.6 ns            5
BM_Cancel/1/iterations:65536_stddev                                           0.345 ns        0.333 ns            5
BM_Cancel/1/iterations:65536_cv                                                1.09 %          1.06 %             5
BM_Cancel/16/iterations:65536_mean                                              102 ns          102 ns            5
BM_Cancel/16/iterations:65536_median                                            103 ns          103 ns            5
BM_Cancel/16/iterations:65536_stddev                                           4.68 ns         4.76 ns            5
BM_Cancel/16/iterations:65536_cv                                               4.59 %          4.68 %             5
BM_Cancel/256/iterations:65536_mean                                             157 ns          156 ns            5
BM_Cancel/256/iterations:65536_median                                           160 ns          160 ns            5
BM_Cancel/256/iterations:65536_stddev                                          10.8 ns         10.7 ns            5
BM_Cancel/256/iterations:65536_cv                                              6.90 %          6.87 %             5
BM_Cancel/4096/iterations:65536_mean                                            187 ns          187 ns            5
BM_Cancel/4096/iterations:65536_median                                          177 ns          176 ns            5
BM_Cancel/4096/iterations:65536_stddev                                         18.5 ns         18.1 ns            5
BM_Cancel/4096/iterations:65536_cv                                             9.88 %          9.70 %             5
BM_Cancel/65536/iterations:65536_mean                                           113 ns          112 ns            5
BM_Cancel/65536/iterations:65536_median                                         113 ns          112 ns            5
BM_Cancel/65536/iterations:65536_stddev                                        1.86 ns         1.81 ns            5
BM_Cancel/65536/iterations:65536_cv                                            1.65 %          1.61 %             5
BM_Replace_PriorityPreserving/1/iterations:65536_mean                          26.9 ns         26.9 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_median                        27.3 ns         27.3 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_stddev                       0.675 ns        0.666 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_cv                            2.51 %          2.48 %             5
BM_Replace_PriorityPreserving/16/iterations:65536_mean                         27.1 ns         27.1 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_median                       26.8 ns         26.8 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_stddev                      0.636 ns        0.584 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_cv                           2.35 %          2.16 %             5
BM_Replace_PriorityPreserving/256/iterations:65536_mean                        28.4 ns         28.4 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_median                      28.3 ns         28.3 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_stddev                     0.460 ns        0.398 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_cv                          1.62 %          1.40 %             5
BM_Replace_PriorityPreserving/4096/iterations:65536_mean                       31.0 ns         31.0 ns            5
BM_Replace_PriorityPreserving/4096/iterations:65536_median                     31.0 ns         31.0 ns            5
BM_Replace_PriorityPreserving/4096/iterations:65536_stddev                    0.267 ns        0.269 ns            5
BM_Replace_PriorityPreserving/4096/iterations:65536_cv                         0.86 %          0.87 %             5
BM_Replace_PriorityPreserving/65536/iterations:65536_mean                      33.7 ns         33.7 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_median                    33.3 ns         33.3 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_stddev                   0.698 ns        0.692 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_cv                        2.07 %          2.06 %             5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_mean             74.2 ns         74.1 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_median           71.2 ns         71.1 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_stddev           8.89 ns         8.75 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_cv              11.98 %         11.81 %             5
