Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-20T10:52:37+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 6.08, 6.35, 6.28
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Sweep_Levels/1/iterations:65536_mean                                         126 ns          126 ns            5 items_per_second=7.95128M/s
BM_Sweep_Levels/1/iterations:65536_median                                       127 ns          126 ns            5 items_per_second=7.91689M/s
BM_Sweep_Levels/1/iterations:65536_stddev                                      2.87 ns         2.84 ns            5 items_per_second=181.489k/s
BM_Sweep_Levels/1/iterations:65536_cv                                          2.27 %          2.26 %             5 items_per_second=2.28%
BM_Sweep_Levels/iterations:65536_BigO                                        126.17 (1)      125.82 (1)  
BM_Sweep_Levels/iterations:65536_RMS                                              2 %             2 %    
BM_Sweep_Levels/4/iterations:65536_mean                                         991 ns          903 ns            5 items_per_second=4.49499M/s
BM_Sweep_Levels/4/iterations:65536_median                                       860 ns          858 ns            5 items_per_second=4.66307M/s
BM_Sweep_Levels/4/iterations:65536_stddev                                       311 ns          131 ns            5 items_per_second=559.195k/s
BM_Sweep_Levels/4/iterations:65536_cv                                         31.32 %         14.55 %             5 items_per_second=12.44%
BM_Sweep_Levels/iterations:65536_BigO                                        991.48 (1)      902.92 (1)  
BM_Sweep_Levels/iterations:65536_RMS                                             28 %            13 %    
BM_Sweep_Levels/16/iterations:16384_mean                                       3283 ns         3273 ns            5 items_per_second=4.88891M/s
BM_Sweep_Levels/16/iterations:16384_median                                     3286 ns         3280 ns            5 items_per_second=4.87873M/s
BM_Sweep_Levels/16/iterations:16384_stddev                                     49.1 ns         49.6 ns            5 items_per_second=74.2277k/s
BM_Sweep_Levels/16/iterations:16384_cv                                         1.50 %          1.51 %             5 items_per_second=1.52%
BM_Sweep_Levels/iterations:16384_BigO                                       3282.68 (1)     3273.32 (1)  
BM_Sweep_Levels/iterations:16384_RMS                                              1 %             1 %    
BM_Sweep_Levels/64/iterations:4096_mean                                       13007 ns        12982 ns            5 items_per_second=4.93011M/s
BM_Sweep_Levels/64/iterations:4096_median                                     13008 ns        12980 ns            5 items_per_second=4.93076M/s
BM_Sweep_Levels/64/iterations:4096_stddev                                      73.7 ns         74.5 ns            5 items_per_second=28.2273k/s
BM_Sweep_Levels/64/iterations:4096_cv                                          0.57 %          0.57 %             5 items_per_second=0.57%
BM_Sweep_Levels/iterations:4096_BigO                                       13007.50 (1)    12981.79 (1)  
BM_Sweep_Levels/iterations:4096_RMS                                               1 %             1 %    
BM_Sweep_Levels/256/iterations:1024_mean                                      52191 ns        52120 ns            5 items_per_second=4.91238M/s
BM_Sweep_Levels/256/iterations:1024_median                                    52371 ns        52277 ns            5 items_per_second=4.89696M/s
BM_Sweep_Levels/256/iterations:1024_stddev                                      667 ns          660 ns            5 items_per_second=62.4405k/s
BM_Sweep_Levels/256/iterations:1024_cv                                         1.28 %          1.27 %             5 items_per_second=1.27%
