Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-20T03:05:00+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 3.56, 4.19, 4.46
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Sweep_Levels/1/iterations:65536_mean                                        42.0 ns         41.9 ns            5 items_per_second=23.8615M/s
BM_Sweep_Levels/1/iterations:65536_median                                      42.1 ns         42.1 ns            5 items_per_second=23.7708M/s
BM_Sweep_Levels/1/iterations:65536_stddev                                      1.03 ns        0.929 ns            5 items_per_second=530.617k/s
BM_Sweep_Levels/1/iterations:65536_cv                                          2.46 %          2.22 %             5 items_per_second=2.22%
BM_Sweep_Levels/iterations:65536_BigO                                         42.00 (1)       41.93 (1)  
BM_Sweep_Levels/iterations:65536_RMS                                              2 %             2 %    
BM_Sweep_Levels/4/iterations:65536_mean                                         133 ns          133 ns            5 items_per_second=30.0818M/s
BM_Sweep_Levels/4/iterations:65536_median                                       133 ns          133 ns            5 items_per_second=30.1038M/s
BM_Sweep_Levels/4/iterations:65536_stddev                                      1.54 ns         1.44 ns            5 items_per_second=326.688k/s
BM_Sweep_Levels/4/iterations:65536_cv                                          1.15 %          1.08 %             5 items_per_second=1.09%
BM_Sweep_Levels/iterations:65536_BigO                                        133.25 (1)      132.98 (1)  
BM_Sweep_Levels/iterations:65536_RMS                                              1 %             1 %    
BM_Sweep_Levels/16/iterations:16384_mean                                        474 ns          473 ns            5 items_per_second=33.8502M/s
BM_Sweep_Levels/16/iterations:16384_median                                      474 ns          473 ns            5 items_per_second=33.8032M/s
BM_Sweep_Levels/16/iterations:16384_stddev                                     5.93 ns         5.87 ns            5 items_per_second=420.643k/s
BM_Sweep_Levels/16/iterations:16384_cv                                         1.25 %          1.24 %             5 items_per_second=1.24%
BM_Sweep_Levels/iterations:16384_BigO                                        473.84 (1)      472.73 (1)  
BM_Sweep_Levels/iterations:16384_RMS                                              1 %             1 %    
BM_Sweep_Levels/64/iterations:4096_mean                                        1851 ns         1846 ns            5 items_per_second=34.6764M/s
BM_Sweep_Levels/64/iterations:4096_median                                      1852 ns         1844 ns            5 items_per_second=34.7027M/s
BM_Sweep_Levels/64/iterations:4096_stddev                                      18.0 ns         16.4 ns            5 items_per_second=308.138k/s
BM_Sweep_Levels/64/iterations:4096_cv                                          0.97 %          0.89 %             5 items_per_second=0.89%
BM_Sweep_Levels/iterations:4096_BigO                                        1850.65 (1)     1845.75 (1)  
BM_Sweep_Levels/iterations:4096_RMS                                               1 %             1 %    
BM_Sweep_Levels/256/iterations:1024_mean                                       7491 ns         7478 ns            5 items_per_second=34.2352M/s
BM_Sweep_Levels/256/iterations:1024_median                                     7506 ns         7490 ns            5 items_per_second=34.1778M/s
BM_Sweep_Levels/256/iterations:1024_stddev                                     57.0 ns         48.2 ns            5 items_per_second=222.062k/s
BM_Sweep_Levels/256/iterations:1024_cv                                         0.76 %          0.64 %             5 items_per_second=0.65%
BM_Sweep_Levels/iterations:1024_BigO                                        7491.28 (1)     7477.93 (1)  
BM_Sweep_Levels/iterations:1024_RMS                                               1 %             1 %    
BM_Sweep_Levels/1024/iterations:256_mean                                      29816 ns        29780 ns            5 items_per_second=34.3877M/s
BM_Sweep_Levels/1024/iterations:256_median                                    29863 ns        29820 ns            5 items_per_second=34.339M/s
BM_Sweep_Levels/1024/iterations:256_stddev                                      231 ns          244 ns            5 items_per_second=283.326k/s
BM_Sweep_Levels/1024/iterations:256_cv                                         0.77 %          0.82 %             5 items_per_second=0.82%
BM_Sweep_Levels/iterations:256_BigO                                        29816.05 (1)    29779.69 (1)  
BM_Sweep_Levels/iterations:256_RMS                                                1 %             1 %    
BM_Cancel/1/iterations:65536_mean                                              17.4 ns         17.3 ns            5
BM_Cancel/1/iterations:65536_median                                            17.2 ns         17.2 ns            5
BM_Cancel/1/iterations:65536_stddev                                           0.545 ns        0.476 ns            5
BM_Cancel/1/iterations:65536_cv                                                3.13 %          2.75 %             5
BM_Cancel/16/iterations:65536_mean                                             30.9 ns         30.8 ns            5
BM_Cancel/16/iterations:65536_median                                           28.9 ns         28.9 ns            5
