Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-20T10:53:27+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 4.79, 5.98, 6.15
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Sweep_Levels/1/iterations:65536_mean                                         118 ns          118 ns            5 items_per_second=8.49914M/s
BM_Sweep_Levels/1/iterations:65536_median                                       117 ns          117 ns            5 items_per_second=8.55338M/s
BM_Sweep_Levels/1/iterations:65536_stddev                                      1.79 ns         1.58 ns            5 items_per_second=112.665k/s
BM_Sweep_Levels/1/iterations:65536_cv                                          1.52 %          1.35 %             5 items_per_second=1.33%
BM_Sweep_Levels/iterations:65536_BigO                                        117.93 (1)      117.68 (1)  
BM_Sweep_Levels/iterations:65536_RMS                                              1 %             1 %    
BM_Sweep_Levels/4/iterations:65536_mean                                         773 ns          772 ns            5 items_per_second=5.17942M/s
BM_Sweep_Levels/4/iterations:65536_median                                       773 ns          772 ns            5 items_per_second=5.17846M/s
BM_Sweep_Levels/4/iterations:65536_stddev                                      2.42 ns         2.48 ns            5 items_per_second=16.6704k/s
BM_Sweep_Levels/4/iterations:65536_cv                                          0.31 %          0.32 %             5 items_per_second=0.32%
BM_Sweep_Levels/iterations:65536_BigO                                        773.22 (1)      772.29 (1)  
BM_Sweep_Levels/iterations:65536_RMS                                              0 %             0 %    
BM_Sweep_Levels/16/iterations:16384_mean                                       3068 ns         3064 ns            5 items_per_second=5.22172M/s
BM_Sweep_Levels/16/iterations:16384_median                                     3073 ns         3068 ns            5 items_per_second=5.21555M/s
BM_Sweep_Levels/16/iterations:16384_stddev                                     23.2 ns         24.6 ns            5 items_per_second=41.9863k/s
BM_Sweep_Levels/16/iterations:16384_cv                                         0.76 %          0.80 %             5 items_per_second=0.80%
BM_Sweep_Levels/iterations:16384_BigO                                       3068.31 (1)     3064.28 (1)  
BM_Sweep_Levels/iterations:16384_RMS                                              1 %             1 %    
BM_Sweep_Levels/64/iterations:4096_mean                                       12288 ns        12260 ns            5 items_per_second=5.22064M/s
BM_Sweep_Levels/64/iterations:4096_median                                     12346 ns        12319 ns            5 items_per_second=5.19519M/s
BM_Sweep_Levels/64/iterations:4096_stddev                                       133 ns          131 ns            5 items_per_second=56.3636k/s
BM_Sweep_Levels/64/iterations:4096_cv                                          1.09 %          1.07 %             5 items_per_second=1.08%
BM_Sweep_Levels/iterations:4096_BigO                                       12287.96 (1)    12260.16 (1)  
BM_Sweep_Levels/iterations:4096_RMS                                               1 %             1 %    
BM_Sweep_Levels/256/iterations:1024_mean                                      49491 ns        48930 ns            5 items_per_second=5.23751M/s
BM_Sweep_Levels/256/iterations:1024_median                                    48273 ns        48165 ns            5 items_per_second=5.31506M/s
BM_Sweep_Levels/256/iterations:1024_stddev                                     2745 ns         1816 ns            5 items_per_second=187.9k/s
BM_Sweep_Levels/256/iterations:1024_cv                                         5.55 %          3.71 %             5 items_per_second=3.59%
BM_Sweep_Levels/iterations:1024_BigO                                       49490.55 (1)    48930.27 (1)  
BM_Sweep_Levels/iterations:1024_RMS                                               5 %             3 %    
BM_Sweep_Levels/1024/iterations:256_mean                                     191326 ns       191003 ns            5 items_per_second=5.36309M/s
