Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-19T22:46:18+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 5.10, 5.14, 5.06
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Sweep_Levels/1/iterations:65536_mean                                        48.7 ns         48.6 ns            5 items_per_second=20.5903M/s
BM_Sweep_Levels/1/iterations:65536_median                                      48.8 ns         48.8 ns            5 items_per_second=20.4928M/s
BM_Sweep_Levels/1/iterations:65536_stddev                                      1.56 ns         1.48 ns            5 items_per_second=622.722k/s
BM_Sweep_Levels/1/iterations:65536_cv                                          3.21 %          3.04 %             5 items_per_second=3.02%
BM_Sweep_Levels/iterations:65536_BigO                                         48.72 (1)       48.60 (1)  
BM_Sweep_Levels/iterations:65536_RMS                                              3 %             3 %    
BM_Sweep_Levels/4/iterations:65536_mean                                         165 ns          165 ns            5 items_per_second=24.2982M/s
BM_Sweep_Levels/4/iterations:65536_median                                       165 ns          164 ns            5 items_per_second=24.3696M/s
BM_Sweep_Levels/4/iterations:65536_stddev                                      3.76 ns         3.71 ns            5 items_per_second=546.293k/s
BM_Sweep_Levels/4/iterations:65536_cv                                          2.28 %          2.25 %             5 items_per_second=2.25%
BM_Sweep_Levels/iterations:65536_BigO                                        165.18 (1)      164.69 (1)  
BM_Sweep_Levels/iterations:65536_RMS                                              2 %             2 %    
BM_Sweep_Levels/16/iterations:16384_mean                                        608 ns          607 ns            5 items_per_second=26.3806M/s
BM_Sweep_Levels/16/iterations:16384_median                                      607 ns          606 ns            5 items_per_second=26.3939M/s
BM_Sweep_Levels/16/iterations:16384_stddev                                     6.08 ns         6.06 ns            5 items_per_second=262.642k/s
BM_Sweep_Levels/16/iterations:16384_cv                                         1.00 %          1.00 %             5 items_per_second=1.00%
BM_Sweep_Levels/iterations:16384_BigO                                        608.07 (1)      606.56 (1)  
BM_Sweep_Levels/iterations:16384_RMS                                              1 %             1 %    
BM_Sweep_Levels/64/iterations:4096_mean                                        2327 ns         2319 ns            5 items_per_second=27.6102M/s
BM_Sweep_Levels/64/iterations:4096_median                                      2313 ns         2306 ns            5 items_per_second=27.7519M/s
BM_Sweep_Levels/64/iterations:4096_stddev                                      53.8 ns         52.1 ns            5 items_per_second=606.375k/s
BM_Sweep_Levels/64/iterations:4096_cv                                          2.31 %          2.24 %             5 items_per_second=2.20%
BM_Sweep_Levels/iterations:4096_BigO                                        2326.90 (1)     2318.90 (1)  
BM_Sweep_Levels/iterations:4096_RMS                                               2 %             2 %    
BM_Sweep_Levels/256/iterations:1024_mean                                       9254 ns         9228 ns            5 items_per_second=27.7476M/s
BM_Sweep_Levels/256/iterations:1024_median                                     9242 ns         9213 ns            5 items_per_second=27.7872M/s
BM_Sweep_Levels/256/iterations:1024_stddev                                      140 ns          132 ns            5 items_per_second=395.493k/s
BM_Sweep_Levels/256/iterations:1024_cv                                         1.52 %          1.43 %             5 items_per_second=1.43%
BM_Sweep_Levels/iterations:1024_BigO                                        9253.91 (1)     9227.54 (1)  
BM_Sweep_Levels/iterations:1024_RMS                                               1 %             1 %    
BM_Sweep_Levels/1024/iterations:256_mean                                      37341 ns        37284 ns            5 items_per_second=27.4706M/s
BM_Sweep_Levels/1024/iterations:256_median                                    37263 ns        37262 ns            5 items_per_second=27.4813M/s
BM_Sweep_Levels/1024/iterations:256_stddev                                      558 ns          587 ns            5 items_per_second=431.955k/s
BM_Sweep_Levels/1024/iterations:256_cv                                         1.49 %          1.57 %             5 items_per_second=1.57%
BM_Sweep_Levels/iterations:256_BigO                                        37340.69 (1)    37283.59 (1)  
BM_Sweep_Levels/iterations:256_RMS                                                1 %             1 %    
BM_Cancel/1/iterations:65536_mean                                              21.4 ns         21.2 ns            5
BM_Cancel/1/iterations:65536_median                                            21.2 ns         21.2 ns            5
BM_Cancel/1/iterations:65536_stddev                                           0.844 ns        0.609 ns            5
BM_Cancel/1/iterations:65536_cv                                                3.94 %          2.87 %             5
BM_Cancel/16/iterations:65536_mean                                             41.8 ns         41.8 ns            5
BM_Cancel/16/iterations:65536_median                                           38.1 ns         38.1 ns            5
BM_Cancel/16/iterations:65536_stddev                                           7.01 ns         7.01 ns            5
BM_Cancel/16/iterations:65536_cv                                              16.78 %         16.79 %             5
BM_Cancel/256/iterations:65536_mean                                            78.4 ns         78.1 ns            5
BM_Cancel/256/iterations:65536_median                                          74.1 ns         73.6 ns            5
BM_Cancel/256/iterations:65536_stddev                                          9.40 ns         9.42 ns            5
BM_Cancel/256/iterations:65536_cv                                             11.99 %         12.06 %             5
BM_Cancel/4096/iterations:65536_mean                                            118 ns          118 ns            5
BM_Cancel/4096/iterations:65536_median                                          119 ns          119 ns            5
BM_Cancel/4096/iterations:65536_stddev                                         11.4 ns         11.3 ns            5
BM_Cancel/4096/iterations:65536_cv                                             9.65 %          9.61 %             5
BM_Cancel/65536/iterations:65536_mean                                           124 ns          123 ns            5
BM_Cancel/65536/iterations:65536_median                                         125 ns          124 ns            5
BM_Cancel/65536/iterations:65536_stddev                                        3.20 ns         3.13 ns            5
BM_Cancel/65536/iterations:65536_cv                                            2.58 %          2.53 %             5
BM_Replace_PriorityPreserving/1/iterations:65536_mean                          23.5 ns         23.5 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_median                        23.3 ns         23.3 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_stddev                       0.309 ns        0.265 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_cv                            1.31 %          1.13 %             5
BM_Replace_PriorityPreserving/16/iterations:65536_mean                         25.0 ns         25.0 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_median                       24.8 ns         24.8 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_stddev                      0.423 ns        0.409 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_cv                           1.69 %          1.64 %             5
BM_Replace_PriorityPreserving/256/iterations:65536_mean                        24.3 ns         24.2 ns            5
